order_details_id,order_id,product_id,quantity,order_discount,order_profits,order_profit_ratio,order_sales
1,CA-2015-100004,122,62,0.1,327,0.39,837
2,CA-2015-100004,764,18,0.2,565,0.26,2174
3,CA-2015-100006,161,3,0,110,0.29,378
4,CA-2015-100032,122,53,0.1,272,0.38,715
5,CA-2015-100032,1342,23,0.1,96,0.31,311
6,CA-2015-100032,613,16,0.1,407,0.27,1506
7,CA-2015-100051,812,79,0.2,318,0.35,909
8,CA-2015-100090,1648,6,0.2,69,0.35,197
9,CA-2015-100090,819,3,0.2,-88,-0.18,502
10,CA-2015-100136,920,130,0.3,1399,0.41,3413
11,CA-2015-100136,1216,94,0.1,64,0.21,305
12,CA-2015-100136,122,143,0.1,734,0.38,1931
13,CA-2015-100136,1507,324,0.2,114,0.22,518
14,CA-2015-100136,1600,216,0.1,264,0.34,778
15,CA-2015-100293,1677,6,0.2,32,0.35,91
16,CA-2015-100328,1313,1,0.2,1,0.34,4
17,CA-2015-100363,326,2,0.2,1,0.35,2
18,CA-2015-100363,1568,3,0.2,7,0.36,19
19,CA-2015-100391,1523,2,0,7,0.46,15
20,CA-2015-100678,1306,2,0.2,1,0.38,3
21,CA-2015-100678,396,3,0.2,50,0.34,149
22,CA-2015-100678,956,3,0.2,28,0.13,228
23,CA-2015-100678,529,3,0.3,-18,-0.06,317
24,CA-2015-100706,1595,6,0,10,0.33,29
25,CA-2015-100706,421,2,0,8,0.08,100
26,CA-2015-100762,97,2,0,8,0.5,16
27,CA-2015-100762,1675,3,0,69,0.48,144
28,CA-2015-100762,889,4,0,46,0.3,152
29,CA-2015-100762,532,2,0,96,0.49,197
30,CA-2015-100860,1462,5,0,9,0.48,19
31,CA-2015-100867,1335,6,0.2,20,0.06,322
32,CA-2015-100881,163,3,0.2,23,0.08,302
33,CA-2015-100895,1414,2,0,3,0.31,9
34,CA-2015-100895,1103,3,0,67,0.28,240
35,CA-2015-100895,866,2,0,107,0.3,357
36,CA-2015-100916,1417,1,0,1,0.31,3
37,CA-2015-100916,557,5,0,10,0.05,195
38,CA-2015-100916,820,4,0,112,0.19,591
39,CA-2015-100972,1678,3,0,80,0.48,166
40,CA-2015-101147,1502,1,0.8,-6,-2.65,2
41,CA-2015-101175,53,6,0.2,-1,-0.01,101
42,CA-2015-101266,1689,2,0,6,0.48,13
43,CA-2015-101364,999,13,0.2,100,0.34,297
44,CA-2015-101392,112,7,0,70,0.26,269
45,CA-2015-101427,590,3,0.2,1,0.14,8
46,CA-2015-101462,727,4,0,28,0.46,60
47,CA-2015-101476,605,1,0,30,0.43,70
48,CA-2015-101560,475,4,0,4,0.33,13
49,CA-2015-101560,715,3,0,22,0.49,46
50,CA-2015-101560,1728,7,0,40,0.47,86
51,CA-2015-101560,559,5,0,44,0.11,398
52,CA-2015-101602,147,3,0.2,-9,-0.23,41
53,CA-2015-101602,996,5,0.3,-22,-0.03,763
54,CA-2015-101770,257,1,0.7,-1,-0.7,2
55,CA-2015-101833,1475,3,0,17,0.5,34
56,CA-2015-101931,1445,2,0,0,0.01,6
57,CA-2015-101931,260,2,0.2,2,0.31,7
58,CA-2015-101931,583,5,0,38,0.27,141
59,CA-2015-101931,1307,2,0,14,0.03,481
60,CA-2015-101931,1196,6,0.15,-36,-0.06,617
61,CA-2015-102008,1572,1,0,24,0.5,49
62,CA-2015-102085,230,4,0,14,0.47,29
63,CA-2015-102274,1137,3,0,1,0.27,5
64,CA-2015-102274,1001,1,0,10,0.27,37
65,CA-2015-102274,1483,3,0,10,0.05,194
66,CA-2015-102274,1111,6,0,302,0.48,629
67,CA-2015-102295,758,1,0.2,-18,-0.15,121
68,CA-2015-102330,122,6,0,44,0.5,89
69,CA-2015-102330,884,4,0.2,36,0.11,320
70,CA-2015-102645,1746,6,0,19,0.48,40
71,CA-2015-102652,1815,3,0,9,0.48,19
72,CA-2015-102652,393,7,0,13,0.39,33
73,CA-2015-102652,1735,1,0,27,0.48,55
74,CA-2015-102652,1537,2,0,16,0.17,92
75,CA-2015-102673,1507,5,0.2,1,0.19,8
76,CA-2015-102673,1135,3,0.2,1,0.09,10
77,CA-2015-102673,224,12,0.2,16,0.33,48
78,CA-2015-102673,435,9,0.2,110,0.11,979
79,CA-2015-102869,1814,3,0.2,5,0.35,16
80,CA-2015-102869,1056,3,0.2,5,0.29,17
81,CA-2015-102869,1363,6,0.2,-5,-0.08,65
82,CA-2015-102869,1295,1,0.4,-32,-0.23,136
83,CA-2015-102988,1754,2,0,6,0.49,13
84,CA-2015-102988,475,7,0,8,0.33,23
85,CA-2015-102988,1136,7,0,7,0.29,23
86,CA-2015-102988,159,1,0,8,0.29,29
87,CA-2015-102988,1050,5,0,83,0.02,4164
88,CA-2015-103058,421,2,0,8,0.08,100
89,CA-2015-103086,678,2,0.6,-2,-0.3,5
90,CA-2015-103100,195,1,0,2,0.47,4
91,CA-2015-103100,898,3,0,497,0.45,1104
92,CA-2015-103191,1377,3,0.2,-83,-0.25,332
93,CA-2015-103219,548,9,0,21,0.38,57
94,CA-2015-103310,1480,2,0,19,0.48,40
95,CA-2015-103310,75,6,0,11,0.27,41
96,CA-2015-103310,846,1,0.2,32,0.13,257
97,CA-2015-103310,1629,5,0.2,125,0.09,1432
98,CA-2015-103317,1641,5,0.7,-7,-0.7,10
99,CA-2015-103317,108,2,0.2,5,0.28,20
100,CA-2015-103317,1040,3,0.2,16,0.08,213
101,CA-2015-103331,274,1,0,2,0.46,3
102,CA-2015-103331,91,4,0,4,0.38,11
103,CA-2015-103331,1776,3,0,8,0.49,17
104,CA-2015-103366,1000,5,0,66,0.44,150
105,CA-2015-103373,144,2,0.4,-169,-0.22,780
106,CA-2015-103401,1815,2,0,6,0.48,13
107,CA-2015-103429,699,2,0.2,9,0.35,26
108,CA-2015-103429,1744,4,0,18,0.45,40
109,CA-2015-103429,855,3,0,78,0.33,236
110,CA-2015-103429,733,5,0,135,0.29,464
111,CA-2015-103492,260,1,0.8,-2,-1.75,1
112,CA-2015-103492,695,5,0.8,-19,-1.6,12
113,CA-2015-103492,1105,6,0.2,72,0.1,720
114,CA-2015-103492,431,7,0.2,66,0.09,756
115,CA-2015-103527,132,3,0.2,3,0.31,11
116,CA-2015-103590,1252,4,0,29,0.47,62
117,CA-2015-103660,1299,7,0.2,76,0.08,1008
118,CA-2015-103702,1309,7,0.7,-47,-0.73,64
119,CA-2015-103744,696,3,0.8,-7,-1.55,4
120,CA-2015-103744,1506,3,0.2,2,0.34,7
121,CA-2015-103800,1088,2,0.2,6,0.34,16
122,CA-2015-103807,969,1,0,1,0.14,6
123,CA-2015-103807,1366,3,0,7,0.47,15
124,CA-2015-103849,1406,2,0.2,7,0.13,58
