product_id,product_name,product_category,product_subcategory,product_manufacturer
1,"""While you Were Out"" Message Book, One Form per Page",Office Supplies,Paper,Other
2,"#10 Gummed Flap White Envelopes, 100/Box",Office Supplies,Envelopes,Other
3,#10 Self-Seal White Envelopes,Office Supplies,Envelopes,Other
4,"#10 White Business Envelopes,4 1/8 x 9 1/2",Office Supplies,Envelopes,Other
5,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Office Supplies,Envelopes,Other
6,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Office Supplies,Envelopes,Other
7,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,Envelopes,Other
8,#6 3/4 Gummed Flap White Envelopes,Office Supplies,Envelopes,Other
9,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,Appliances,Other
10,"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",Office Supplies,Paper,Other
11,12 Colored Short Pencils,Office Supplies,Art,Other
12,12-1/2 Diameter Round Wall Clock,Furniture,Furnishings,Other
13,14-7/8 x 11 Blue Bar Computer Printout Paper,Office Supplies,Paper,Other
14,2300 Heavy-Duty Transfer File Systems by Perma,Office Supplies,Storage,Other
15,"24 Capacity Maxi Data Binder Racks, Pearl",Office Supplies,Storage,Other
16,24-Hour Round Wall Clock,Furniture,Furnishings,Other
17,3-ring staple pack,Office Supplies,Binders,3-ring staple pack
18,3.6 Cubic Foot Counter Height Office Refrigerator,Office Supplies,Appliances,Other
19,36X48 HARDFLOOR CHAIRMAT,Furniture,Furnishings,Other
20,"3D Systems Cube Printer, 2nd Generation, Magenta",Technology,Machines,3D Systems
21,"3D Systems Cube Printer, 2nd Generation, White",Technology,Machines,3D Systems
22,3M Hangers With Command Adhesive,Furniture,Furnishings,3M
23,3M Office Air Cleaner,Office Supplies,Appliances,3M
24,3M Organizer Strips,Office Supplies,Binders,3M
25,3M Polarizing Light Filter Sleeves,Furniture,Furnishings,3M
26,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Furniture,Furnishings,3M
27,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,Office Supplies,Appliances,3M
28,4009 Highlighters,Office Supplies,Art,Other
29,4009 Highlighters by Sanford,Office Supplies,Art,Other
30,50 Colored Long Pencils,Office Supplies,Art,Other
31,"6"" Cubicle Wall Clock, Black",Furniture,Furnishings,Other
32,9-3/4 Diameter Round Wall Clock,Furniture,Furnishings,Other
33,Aastra 57i VoIP phone,Technology,Phones,Other
34,Aastra 6757i CT Wireless VoIP phone,Technology,Phones,Other
35,Acco 3-Hole Punch,Office Supplies,Binders,Acco
